Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Nova Scotia,1301,SOUTH BAR,1217030,Cape Breton,,,,,274568,27905,0.3430,5,4,4980681,329033792,0.0151,97398,,
Newfoundland & Labrador,473,SOUTH EAST BIGHT,1002031,"Division No.  2, Subd. C",,,,,855230,360962,-0.0170,23,25,208627,1509841,0.1382,596,,
Prince Edward Island,,SOUTH LAKE,1101039,Lot 47,,,,,5796,1475,-0.0179,1,1,184221,581510,0.3168,496,,
Prince Edward Island,2072,SOUTH RIVER (MURRAY HARBOUR),1101002,Murray Harbour,,,,,NA,NA,NA,NA,9,1161662,2823864,0.4114,320,,
Prince Edward Island,,SOUTH RUSTICO,1102044,,,,,,17105,17996,1.0930,1,1,NA,NA,NA,1656,,
Nova Scotia,1304,SOUTH SIDE,1201001,Barrington,,,,,3838440,1117490,-0.1531,25,26,7802274,18868721,0.4135,6994,,
Nova Scotia,,SOUTH WEST COVE,1209034,Halifax,,,,,42987,4310,1.3766,NA,1,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,475,SOUTHERN HARBOUR,1001259,"Division No.  1, Subd. A",,,,,697731,559215,-0.2122,25,28,171213,1644639,0.1041,757,,
Newfoundland & Labrador,476,SOUTHPORT,1007001,"Division No.  7, Subd. M",,,,,259815,208411,-0.3535,20,17,551443,8092174,0.0681,2055,,
Nova Scotia,,SOUTHSIDE HARBOUR,,,,,,,377186,42733,0.6781,3,3,NA,NA,NA,NA,,
Newfoundland & Labrador,,SPILLAR'S COVE,,,,,,,11850,4961,0.8986,1,2,NA,NA,NA,NA,,
Newfoundland & Labrador,480,SPIRITY COVE,1009047,"Division No.  9, Subd. G",,,,,78349,19441,-0.2894,5,6,19852,79425,0.2500,49,,
Newfoundland & Labrador,,SPRINGDALE,1008061,Division No. 8,,,,,8151,1422,-0.8488,NA,3,198887,12673782,0.0157,2907,,
Nova Scotia,,SPRY BAY,1209034,Halifax,,,,,141396,14110,0.9443,2,2,8295382,1795405559,0.0046,390096,,
New Brunswick,,ST. ANDREWS,,,,,,,389911,408777,0.1804,2,4,NA,NA,NA,NA,,
Nova Scotia,,ST. ANN'S BAY,,,,,,,59602,6218,0.4449,NA,1,NA,NA,NA,NA,,
Newfoundland & Labrador,482,ST. ANTHONY,1009031,"Division No.  9, Subd. D",,,,,31121208,14927942,0.3936,84,82,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,483,ST. ANTHONY BIGHT,1009031,"Division No.  9, Subd. D",,,,,22129,7230,0.1573,4,4,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,,ST. BARBE (PIGEON COVE),,,,,,,21256,3898,-0.9501,1,2,NA,NA,NA,NA,,
Newfoundland & Labrador,484,ST. BERNARD'S,1002026,"Division No.  2, Subd. I",,,,,620734,208472,-0.5788,29,30,14140,356509,0.0397,136,,
Newfoundland & Labrador,486,ST. BRENDAN'S (SHOAL COVE AND DOCK COVE),1007048,St. Brendan's,,,,,627145,182022,0.2209,21,24,63782,642000,0.0993,147,,
Newfoundland & Labrador,487,ST. BRIDE'S,1001228,St. Bride's,,,,,3913087,1470121,-0.2769,42,43,258902,1312441,0.1973,308,,
Newfoundland & Labrador,488,ST. CAROLS,1009031,"Division No.  9, Subd. D",,,,,14470,7185,12.5292,3,3,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,,ST. CHADS,1007038,"Division No.  7, Subd. D",,,,,11127,1388,-0.2395,2,2,143,4968,0.0288,232,,
Newfoundland & Labrador,490,ST. DAVID'S & STEADY BROOK (CRABBE'S RIVER),1004006,"Division No.  4, Subd. B",,,,,1683,260,NA,NA,0,58334,3199737,0.0182,1298,,
New Brunswick,,ST. EDOUARD,,,,,,,536699,106876,0.1518,6,9,NA,NA,NA,NA,,
New Brunswick,,ST. GEORGE,1302018,,,,,,57575,7883,9.7883,1,1,1199390,9992856,0.1200,1543,,
Newfoundland & Labrador,491,ST. GEORGES,1004011,,,,,,143823,19508,0.6851,6,9,NA,NA,NA,728,,
Newfoundland & Labrador,492,ST. JACQUES,1003003,St. Jacques-Coomb's Cove,,,,,208618,80570,-0.6773,7,7,380523,1579530,0.2409,618,,
New Brunswick,,ST. JOHN,,,,,,,1760624,224510,0.7974,5,11,NA,NA,NA,NA,,
Newfoundland & Labrador,494,ST. JOHN'S (PROSSER ROCK),1001519,St. John's,,,,,27436727,8433396,-0.2079,94,106,2487211,560035338,0.0044,106172,,
Newfoundland & Labrador,,"ST. JOSEPH'S, ST. MARY'S BAY",,,,,,,2620539,794884,-0.3841,1,9,NA,NA,NA,NA,,
Newfoundland & Labrador,,ST. JULIEN'S AND GRANDOIS,,,,,,,7398,6219,52.2038,3,2,NA,NA,NA,NA,,
Newfoundland & Labrador,499,ST. LAWRENCE,1002008,St. Lawrence,,,,,7737391,3018464,-0.0248,50,51,460737,4950013,0.0931,1244,,
Newfoundland & Labrador,639,ST. LEWIS,1010010,St. Lewis,,,,,1144534,313927,-0.2049,10,13,194012,668701,0.2901,207,,
New Brunswick,,ST. LOUIS,1308021,Saint-Louis,,,,,5358,6597,-0.9727,1,1,204488,2081859,0.0982,1741,,
Newfoundland & Labrador,500,ST. LUNAIRE,1009032,St. Lunaire-Griquet,,,,,6195717,3550808,-0.4178,34,41,656972,3165878,0.2075,661,,
Nova Scotia,,ST. MARGARET'S BAY,1209034,Halifax,,,,,9958,959,113.1667,NA,NA,8295382,1795405559,0.0046,390096,,
New Brunswick,2635,ST. MARTINS,1301002,St. Martins,,,,,898702,148030,0.2168,7,8,283,NA,NA,314,,
Newfoundland & Labrador,501,ST. MARY'S,1001155,"Division No.  1, Subd. W",,,,,955770,256777,0.1180,5,7,NA,NA,NA,511,,
Prince Edward Island,,ST. MARY'S BAY,,,,,,,140422,74113,-0.8407,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,ST. PAULS,1009020,,,,,,91229,14551,-0.5580,6,9,14765,508590,0.0290,258,,
Nova Scotia,,ST. PETERS,1216006,,,,,,557959,56349,0.9318,5,4,655477,14866733,0.0441,3953,,
Prince Edward Island,,ST. PETERS BAY,1101044,,,,,,1264,382,0.7746,1,1,378057,3529939,0.1071,253,,
Newfoundland & Labrador,503,ST. PHILLIP'S,1001490,"Division No.  1, Subd. R",,,,,NA,NA,NA,NA,NA,30,10244,0.0030,344,,
Newfoundland & Labrador,504,ST. SHOTTS,1001101,"Division No.  1, Subd. V",,,,,4372,4185,67.6471,7,5,NA,NA,NA,62,,
New Brunswick,,ST. SIMON,1315026,Caraquet,,,,,53420,21227,-0.4078,2,2,488211,4381495,0.1114,1382,,
Newfoundland & Labrador,,ST. TERESA,1004011,,,,,,205769,26976,-0.5559,8,9,NA,NA,NA,728,,
New Brunswick,2639,ST. THOMAS,1308004,Wellington,,,,,326464,65752,-0.8456,7,8,378656,8096168,0.0468,3327,,
Newfoundland & Labrador,507,STAG HARBOUR,1008020,Fogo Island Region (Part),,,,,10549,1435,-0.9967,1,2,310592,1065836,0.2914,421,,
Prince Edward Island,2074,STANHOPE,1102052,Lot 34,,,,,NA,NA,NA,NA,NA,200157,11834117,0.0169,2577,,
Prince Edward Island,2075,STANLEY BRIDGE,1102045,Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,,,,,354488,53408,-0.1205,6,5,NA,NA,NA,266,,
Quebec,3796,ST-AUGUSTIN,,,,,,,43732,4528,0.6284,4,5,NA,NA,NA,NA,,
New Brunswick,,STE. MARIE,,,,,,,4843,1638,-0.1892,1,NA,NA,NA,NA,NA,,
New Brunswick,,STE. MARIE/ST. RAPHAEL,1315033,,,,,,1881105,965827,-0.3686,26,22,634039,2931084,0.2163,955,,
Quebec,,STE-ANNE-DE-PORTNEUF (PORTNEUF),2495040,,,,,,719661,341339,-0.2236,3,4,137121,2663872,0.0515,761,,
Quebec,4065,STE-ANNE-DES-MONTS - HAVRE POLYVALENT,2404037,Sainte-Anne-des-Monts,,,,,3050740,2123344,-0.3287,4,8,371538,19207578,0.0193,6933,,
Newfoundland & Labrador,,STEPHENVILLE,1004019,Stephenville,,,,,3636393,9884213,-0.7329,24,40,107284,23779685,0.0045,6719,,
Quebec,3856,STE-THÉRÈSE-DE-GASPÉ (PETITE RIVIÈRE EST),2402010,Sainte-Thérèse-de-Gaspé,,,,,9340953,3531486,0.3324,43,49,804486,3024623,0.2660,1055,,
Nova Scotia,,STEWIACKE,1210002,,,,,,44515,22191,1.2708,1,1,NA,NA,NA,1438,,
Quebec,3676,ST-GEORGES-DE-MALBAIE,2402005,Percé,,,,,689135,125707,0.3739,13,11,978725,7646058,0.1280,3312,,
Quebec,3814,ST-GODEFROI,2405015,Saint-Godefroi,,,,,601451,236082,-0.8866,12,14,78003,1789745,0.0436,405,,
Newfoundland & Labrador,,STOCK COVE,1007024,"Division No.  7, Subd. G",,,,,12817,6309,-0.9529,1,3,77618,767825,0.1011,398,,
New Brunswick,2641,STONEHAVEN,1315016,New Bandon,,,,,1435263,212785,0.1175,21,22,438174,3815187,0.1149,1195,,
Nova Scotia,,STONEHURST,,,,,,,737820,90124,-0.0729,10,12,NA,NA,NA,NA,,
Newfoundland & Labrador,,STONEVILLE,1008008,"Division No.  8, Subd. L",,,,,11981,4326,1311.2727,2,1,120343,7955259,0.0151,3105,,
Nova Scotia,1312,STONEY ISLAND,1201001,Barrington,,,,,3066733,491597,-0.4590,13,16,7802274,18868721,0.4135,6994,,
Newfoundland & Labrador,600,STRAITSVIEW (SPILLARS COVE),1009031,"Division No.  9, Subd. D",,,,,73178,142942,2.4776,13,11,1063069,13904936,0.0765,815,,
New Brunswick,2642,STUARTTOWN,1302006,West Isles,,,,,1850529,906634,0.0706,6,7,1374189,3062876,0.4487,731,,
Prince Edward Island,2077,STURGEON BRIDGE,1101008,Lot 61,,,,,22,52082,NA,NA,0,NA,NA,NA,795,,
Newfoundland & Labrador,510,SUMMERFORD,1008033,Summerford,,,,,151084,212879,-0.4311,21,22,255048,2262256,0.1127,853,,
Prince Edward Island,,SUMMERSIDE,1103025,Prince,,,,,328104,233210,-0.3020,12,10,512529,61267650,0.0084,14751,,
Newfoundland & Labrador,512,SUMMERVILLE,1007028,"Division No.  7, Subd. F",,,,,512485,570700,2.5772,24,25,230455,2628849,0.0877,971,,
Newfoundland & Labrador,513,SUNNYSIDE,1001259,"Division No.  1, Subd. A",,,,,25846,9157,-0.5214,1,2,171213,1644639,0.1041,757,,
Nova Scotia,1314,SURETTES ISLAND (THE TITTLE),1202001,Argyle,,,,,485749,644693,-0.9552,1,1,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,514,SWEET BAY,1007028,"Division No.  7, Subd. F",,,,,59073,14972,-0.6087,1,3,230455,2628849,0.0877,971,,
Nova Scotia,1315,SWIM POINT,1201001,Barrington,,,,,1419360,227787,-0.7786,3,6,7802274,18868721,0.4135,6994,,
Nova Scotia,,SYDNEY RIVER,1217030,Cape Breton,,,,,480,700,-0.0962,1,0,4980681,329033792,0.0151,97398,,
New Brunswick,,TABUSINTAC,1309036,Alnwick,,,,,390284,204849,1.5986,27,22,1422765,15412270,0.0923,5922,,
Quebec,,TADOUSSAC,2495005,,,,,,679903,308154,4.9215,1,1,NA,NA,NA,813,,
Nova Scotia,,TANGIER,1209034,Halifax,,,,,277841,28133,3.5048,2,2,8295382,1795405559,0.0046,390096,,
Nova Scotia,,TANTALLON,1209034,Halifax,,,,,7115,1092,2.5482,NA,NA,8295382,1795405559,0.0046,390096,,
Nova Scotia,1318,TERENCE BAY,1209034,Halifax,,,,,NA,NA,NA,NA,NA,8295382,1795405559,0.0046,390096,,
Nova Scotia,,TERRANCE BAY,,,,,,,522711,60508,0.5075,9,11,NA,NA,NA,NA,,
Newfoundland & Labrador,,TERRENCEVILLE,,,,,,,9874,2357,-0.1209,1,1,NA,NA,NA,NA,,
Quebec,3896,TÊTE-À-LA-BALEINE (FISHERMEN'S WHARF),2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,,,,,990441,264643,255.1843,17,13,485754,3848627,0.1262,971,,
Nova Scotia,,THORNE COVE,1205004,"Annapolis, Subd. A",,,,,32975,14431,0.6181,1,1,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,517,THORNLEA,1001259,"Division No.  1, Subd. A",,,,,7415,3937,7.7890,1,1,171213,1644639,0.1041,757,,
Nova Scotia,1320,THREE FATHOM HARBOUR,1209034,Halifax,,,,,563374,449010,-0.8132,8,13,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,594,THREE MILE ROCK,1009041,,,,,,104167,38149,0.3120,4,6,NA,NA,NA,84,,
Newfoundland & Labrador,518,THREE ROCK COVE,1004022,"Division No.  4, Subd. E",,,,,126850,36347,-0.6285,5,6,33,800,0.0414,1973,,
Newfoundland & Labrador,691,TICKLE COVE,1007028,"Division No.  7, Subd. F",,,,,28094,13045,-0.3027,5,5,230455,2628849,0.0877,971,,
Prince Edward Island,2078,TIGNISH,1103058,Lot  1,,,,,204293,121955,-0.1760,2,4,NA,NA,NA,1786,,
Prince Edward Island,,TIGNISH RUN,,,,,,,15680330,6498347,0.0536,157,139,NA,NA,NA,NA,,
Newfoundland & Labrador,519,TILTING,1008020,Fogo Island Region (Part),,,,,10796,9875,-0.8207,3,6,310592,1065836,0.2914,421,,
Nova Scotia,1323,TIVERTON -FISHERMEN'S WHARF,1203004,Digby,,,,,2575453,297288,0.0883,11,13,2347740,15260532,0.1538,7463,,
Newfoundland & Labrador,520,TIZZARD'S HARBOUR,1008031,"Division No.  8, Subd. H",,,,,19232,36484,-0.5814,3,5,518941,4950205,0.1048,2043,,
Nova Scotia,1325,TONEY RIVER,1212001,"Pictou, Subd. A",,,,,1563184,1641501,0.0146,27,27,352662,11924084,0.0296,6397,,
Newfoundland & Labrador,,TOO GOOD ARM,1008031,"Division No.  8, Subd. H",,,,,12538,10643,0.2919,1,2,518941,4950205,0.1048,2043,,
Newfoundland & Labrador,521,TORBAY,1001565,"Division No.  1, Subd. D",,,,,182077,29449,-0.0981,8,5,NA,NA,NA,115,,
Newfoundland & Labrador,,TORS COVE,1001124,"Division No.  1, Subd. U",,,,,3136,2869,0.0530,NA,3,348377,5856258,0.0595,1489,,
Quebec,3862,TOURELLES (ST-JOACHIM),2404037,Sainte-Anne-des-Monts,,,,,NA,NA,NA,NA,NA,371538,19207578,0.0193,6933,,
Prince Edward Island,2079,TRACADIE,1102054,Lot 35,,,,,2275906,345371,-0.3519,15,16,NA,NA,NA,1643,,
New Brunswick,,TRACADIE BAY,,,,,,,30056,8229,-0.0034,1,1,NA,NA,NA,NA,,
New Brunswick,,TRACADIE RIVER,,,,,,,55929,21543,-0.8734,NA,5,NA,NA,NA,NA,,
Newfoundland & Labrador,523,TREPASSEY,1001101,"Division No.  1, Subd. V",,,,,1201132,351561,-0.0496,4,10,NA,NA,NA,62,,
Newfoundland & Labrador,526,TRINITY EAST,1007014,"Division No.  7, Subd. J",,,,,202641,76958,-0.8994,5,6,NA,NA,NA,498,,
Newfoundland & Labrador,,"TRINITY, BONAVISTA BAY",1007050,,,,,,5778,3850,0.3173,1,0,141669,3162514,0.0448,1161,,
Newfoundland & Labrador,527,TRITON,1008052,"Division No.  8, Subd. D",,,,,2576990,2100488,-0.6660,76,91,NA,NA,NA,5,,
Quebec,3864,TROIS-PISTOLES,2411040,,,,,,25410,10594,-0.8107,1,1,42279,12302737,0.0034,3456,,
Newfoundland & Labrador,528,TROUT RIVER,1009010,Trout River,,,,,877775,369771,-0.4948,27,39,94526,1000371,0.0945,576,,
Prince Edward Island,,TRYON,1103001,Lot 28,,,,,57765,13318,41.4797,2,1,NA,NA,NA,882,,
Nova Scotia,,TUSKET,1202001,Argyle,,,,,11868,33652,-0.9374,1,1,8301417,26998789,0.3075,8252,,
Nova Scotia,,TUSKET FALLS,1202004,Yarmouth,,,,,17218,22692,-0.9569,NA,0,2575595,17774581,0.1449,10105,,
Nova Scotia,,TUSKET ISLANDS,,,,,,,6702,2797,6.3425,NA,1,NA,NA,NA,NA,,
Newfoundland & Labrador,531,TWILLINGATE (SHOAL TICKLE),1008026,"Division No.  8, Subd. I",,,,,11482640,5913579,0.0344,104,127,NA,NA,NA,211,,
Nova Scotia,,TWO ISLANDS,1211006,,,,,,2040,1177,0.7066,1,0,NA,NA,NA,3580,,
Prince Edward Island,,TYNE VALLEY,1103033,Prince,,,,,4618,1757,38.5580,NA,0,57603,3283942,0.0175,222,,
Nova Scotia,,UPPER CLEMENTS,1205004,"Annapolis, Subd. A",,,,,824,323,-0.9557,1,0,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,536,UPPER ISLAND COVE,1001385,Upper Island Cove,,,,,195509,73542,-0.3121,9,10,568147,6793009,0.0836,1594,,
Nova Scotia,1331,UPPER PORT LA TOUR,1201001,Barrington,,,,,27246,2902,NA,NA,1,7802274,18868721,0.4135,6994,,
Nova Scotia,1356,UPPER WHITEHEAD,1213004,Guysborough,,,,,NA,NA,NA,NA,NA,2189058,11035667,0.1984,4189,,
New Brunswick,2649,VAL-COMEAU,1315001,Saumarez,,,,,2952590,517753,0.6926,41,35,1154680,20676078,0.0558,6920,,
Newfoundland & Labrador,538,VALLEYFIELD,1007060,New-Wes-Valley,,,,,5998151,3250166,2.1015,27,36,1545742,7733383,0.1999,2265,,
Newfoundland & Labrador,545,VALLEYPOND,1008031,"Division No.  8, Subd. H",,,,,78266,37549,-0.4331,5,10,518941,4950205,0.1048,2043,,
Prince Edward Island,,VERNON BRIDGE,1102009,,,,,,13742,5714,-0.1670,1,1,174,9839,0.0177,850,,
Prince Edward Island,2081,VICTORIA,1102031,Lot 29,,,,,384211,253300,0.4712,6,6,NA,NA,NA,895,,
Nova Scotia,,VICTORIA BEACH,1205004,"Annapolis, Subd. A",,,,,1527347,211818,-0.2066,4,5,1116846,8333732,0.1340,6008,,
Quebec,,VIEUX-FORT (OLD FORT),,,,,,,394599,861980,7.3494,12,12,NA,NA,NA,NA,,
Newfoundland & Labrador,539,VIRGIN ARM,1008031,"Division No.  8, Subd. H",,,,,1568,2923,-0.9140,NA,1,518941,4950205,0.1048,2043,,
Nova Scotia,1335,VOGLER'S COVE,1206001,Lunenburg,,,,,1927380,287008,0.4535,12,13,3281566,61655736,0.0532,25118,,
Nova Scotia,1337,WALLACE,1211014,"Cumberland, Subd. D",,,,,413553,127955,-0.2909,10,13,79126,10611978,0.0075,4266,,
Nova Scotia,,WALLACE BAY,1211014,"Cumberland, Subd. D",,,,,10154,9282,-0.6096,1,1,79126,10611978,0.0075,4266,,
Newfoundland & Labrador,,WAREHAM/CENTREVILLE,1007050,,,,,,59024,25016,-0.9404,5,8,141669,3162514,0.0448,1161,,
Nova Scotia,1338,WEDGE POINT (WEDGEPORT),1202001,Argyle,,,,,10468708,2531109,-0.7257,41,52,8301417,26998789,0.3075,8252,,
New Brunswick,,WELSHPOOL,1302004,Campobello Island,,,,,5265,82276,-0.1477,NA,0,627343,2756061,0.2276,925,,
Newfoundland & Labrador,573,WESLEYVILLE,1007060,New-Wes-Valley,,,,,465595,156259,-0.2414,9,14,1545742,7733383,0.1999,2265,,
Nova Scotia,1339,WEST ARICHAT,1216001,"Richmond, Subd. C",,,,,339804,38812,4.5419,2,3,1204305,10998223,0.1095,3286,,
Newfoundland & Labrador,,"WEST BAY, PORT AU PORT BAY",,,,,,,3158,2378,-0.9000,1,1,NA,NA,NA,NA,,
Nova Scotia,1341,WEST BERLIN,1204010,Queens,,,,,447198,59006,1.7706,4,4,2613644,28495307,0.0917,10917,,
Nova Scotia,,WEST CHEZZETCOOK,1209034,Halifax,,,,,31071,14335,3.3664,1,1,8295382,1795405559,0.0046,390096,,
Nova Scotia,1342,WEST DOVER,1209034,Halifax,,,,,231,132250,-0.8565,11,11,8295382,1795405559,0.0046,390096,,
Nova Scotia,,WEST DUBLIN,1206001,Lunenburg,,,,,280718,38624,0.4446,1,4,3281566,61655736,0.0532,25118,,
Nova Scotia,1343,WEST GREEN HARBOUR,1201006,Shelburne,,,,,652048,70191,0.2005,12,15,622600,2383982,0.2612,4408,,
Nova Scotia,1345,WEST HEAD,1201004,Clark's Harbour,,,,,15092470,4272944,-0.7838,45,65,3165691,5893240,0.5372,820,,
Nova Scotia,,WEST JEDDORE,1209034,Halifax,,,,,56760,7660,0.5909,1,3,8295382,1795405559,0.0046,390096,,
Nova Scotia,,WEST PENNANT,1209034,Halifax,,,,,45076,5105,0.3041,NA,0,8295382,1795405559,0.0046,390096,,
Prince Edward Island,2082,WEST POINT,1103046,Lot  8,,,,,2264311,536575,-0.4614,25,28,NA,NA,NA,596,,
Nova Scotia,,WEST PUBNICO,1202001,Argyle,,,,,387848,67265,-0.8854,1,3,8301417,26998789,0.3075,8252,,
Nova Scotia,,WEST QUODDY,1209034,Halifax,,,,,192290,19872,1.4312,3,2,8295382,1795405559,0.0046,390096,,
Prince Edward Island,,WEST RIVER,1102028,Lot 65,,,,,272510,102730,-0.9082,1,2,NA,NA,NA,2200,,
New Brunswick,,WEST ST. JOHN,,,,,,,15813,5052,25.4573,1,1,NA,NA,NA,NA,,
Nova Scotia,,WESTERN SHORE,1206009,Chester,,,,,37862,4085,3.4973,1,1,514888,24549564,0.0210,10599,,
Newfoundland & Labrador,544,WESTPORT,1008074,"Division No.  8, Subd. A",,,,,5987268,1067398,-0.5567,8,10,127910,565137,0.2263,352,,
Nova Scotia,1351,WESTPORT (IRISHTOWN),1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Nova Scotia,1350,WESTPORT -FERRY WHARF,1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Nova Scotia,,WEYMOUTH,1203004,Digby,,,,,376299,137096,17.4363,2,2,2347740,15260532,0.1538,7463,,
Nova Scotia,,WEYMOUTH NORTH,1203004,Digby,,,,,10872,237393,-0.8729,1,1,2347740,15260532,0.1538,7463,,
Nova Scotia,1352,WHALE COVE,1203004,Digby,,,,,NA,NA,NA,2,3,2347740,15260532,0.1538,7463,,
New Brunswick,2658,WHALE COVE,1302052,Grand Manan,,,,,NA,NA,NA,NA,NA,NA,NA,NA,2377,,
New Brunswick,2659,WHITE HEAD,1302001,Grand Manan,,,,,2255890,275244,-0.4850,9,18,2823489,8518829,0.3314,162,,
Nova Scotia,1353,WHITE POINT,1218006,"Victoria, Subd. A",,,,,543479,73057,-0.2614,10,9,1386636,6782866,0.2044,2769,,
Nova Scotia,,WHITEHEAD,1213004,Guysborough,,,,,2130597,246542,-0.4628,10,10,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,546,WHITEWAY,1001304,"Division No.  1, Subd. E",,,,,85450,31871,-0.7142,2,6,622531,10172953,0.0612,2971,,
Newfoundland & Labrador,548,WILD COVE,1008074,"Division No.  8, Subd. A",,,,,NA,NA,NA,9,NA,127910,565137,0.2263,352,,
Newfoundland & Labrador,,"WILD COVE, WHITE BAY",,,,,,,220423,95135,0.6903,9,11,NA,NA,NA,NA,,
Newfoundland & Labrador,,WILLIAMS HARBOUR,1010008,"Division No. 10, Subd. B",,,,,5332,4831,-0.7061,9,5,177096,776036,0.2282,349,,
Prince Edward Island,,WILMOT,1101001,Lot 64,,,,,34635,14825,0.0537,1,1,NA,NA,NA,905,,
Prince Edward Island,,WILMOT RIVER,,,,,,,20011,4101,5.6526,1,0,NA,NA,NA,NA,,
New Brunswick,2663,WILSONS BEACH,1302004,Campobello Island,,,,,143271,445681,-0.8438,3,4,627343,2756061,0.2276,925,,
Newfoundland & Labrador,552,WINTERTON,1001332,Winterton,,,,,274869,82914,-0.3671,9,10,443084,1385184,0.3199,484,,
Newfoundland & Labrador,553,WITLESS BAY,1001559,Witless Bay,,,,,2396000,632736,-0.5174,7,12,209698,7487692,0.0280,1179,,
Quebec,,WOLF BAY,2495015,,,,,,20,11,-0.9858,1,0,NA,NA,NA,NA,,
Prince Edward Island,2083,WOODS ISLAND,1102001,Lot 62,,,,,690,819966,0.1073,28,26,34397,1797924,0.0191,470,,
Newfoundland & Labrador,,WOODSTOCK,1008096,,,,,,4567,847,0.9642,2,1,32485,654694,0.0496,190,,
New Brunswick,2664,WOODWARDS COVE,1302052,Grand Manan,,,,,890,6513,NA,1,1,NA,NA,NA,2377,,
Newfoundland & Labrador,558,WOODY POINT,1009011,"Woody Point, Bonne Bay",,,,,2321438,4798389,1.4091,37,29,NA,NA,NA,281,,
Newfoundland & Labrador,559,WRECK COVE,1003001,"Division No.  3, Subd. A",,,,,351560,70842,-0.5678,5,8,NA,NA,NA,5,,
Nova Scotia,,YARMOUTH,,,,,,,34096188,33701892,0.0683,75,85,NA,NA,NA,NA,,
Nova Scotia,1361,YARMOUTH BAR,1202004,Yarmouth,,,,,9393920,1357646,0.7372,22,36,2575595,17774581,0.1449,10105,,
,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
